Column1,orderId,itemId,shopId,cmtId,rating,comment,ship_oversea,region,userId,likes,price,service,ship,performance,genuine,configuration,access,other,model,package
50036,66873400000000.0,3809167661,203649445,4105524456.0,1,"sản_phẩm nguyên_seal , giao hàng nhanh điểm trừ khả_năng kết_nối bluetooth rút sạc tắt nguồn , phí tiền thật",False,vn,60639479,0,,,,,,,,,,
50037,98725700000000.0,3809167661,203649445,7549547315.0,5,"sản_phẩm đẹp , đóng_gói gàng kỹ đúng giới_thiệu mua dùng .",False,vn,84272087,0,,,,,,,,,,
50038,124146000000000.0,10595736600,775185265,10303187016.0,5,"chất_lượng sản_phẩm quá tuyệt_vời tính_năng nổi_bật nghe nhạc khá ưng bạn , nhỏ gọn tiện_lợi , năm sao chất_lượng",False,vn,12827256,3,,,,,,,,,,
50039,132844000000000.0,10595736600,775185265,11085443029.0,5,"xem video nghe nhạc oke_nha ơi , shop tư_vấn chu_đáo vè nhiệt_tình",False,vn,452366325,3,,,,,,,,,,
50040,115079000000000.0,10595736600,775185265,9500967037.0,5,tuyệt_vời đẹp cảm_ơn shop cảm_ơn shopee cảm_ơn chàng shiper dễ_thương thân_thiện nhiệt_tình giao hàng tận bất_chấp mưa_gió cảm_ơn tất_cả,False,vn,165158696,10,,,,,,,,,,
50041,138794000000000.0,10595736600,775185265,11655583660.0,4,chất_lượng sản_phẩm hơi móp hơi khó thêm bài hát giao hàng hơi lâu,False,vn,901399887,0,,,,,,,,,,
50042,120392000000000.0,10595736600,775185265,10100222926.0,5,chất_lượng sản_phẩm tuyệt_vời ông mặt_trời tính_năng nổi_bật mua tặng bạn thấy bạn bảo còn xem hoạt_hình,False,vn,282746031,2,,,,,,,,,,
50043,132331000000000.0,10595736600,775185265,11036980144.0,5,chất_lượng sản_phẩm ok tính_năng nổi_bật biết dùng bán,False,vn,26084272,0,,,,,,,,,,
50044,136919000000000.0,10595736600,775185265,11494135480.0,4,"máy nhỏ_xíu xiu , tặng kèm thứ",False,vn,415265502,0,,,,,,,,,,
50045,122812000000000.0,20631759422,822327546,10218521494.0,5,"hang chua_su_dung nen chua , nhìn ngoài cung_giong nhu da_quan cao , nhung chua chat luong , co_gi bao , binh_luan mang tin nhan , xin thong_cam",False,vn,150793158,0,,,,,,,,,,
50046,108282000000000.0,17360211014,1427492,8657022514.0,5,"chất_lượng sản_phẩm tốt tính_năng nổi_bật nghe giao hàng ổn quá nhanh chưua sd biết nào , mong ổn",False,vn,95413847,0,,,,,,,,,,
50047,116424000000000.0,15884473553,285716322,9579295122.0,5,chất_lượng sản_phẩm tốt đóng_gói cẩn_thẩn giao hàng đúng màu dùng biết chất_lượng thế_nào giá rẻ okilaaa,False,vn,324903919,0,,,,,,,,,,
50048,109239000000000.0,15884473553,285716322,8774437417.0,5,chất_lượng sản_phẩm ok lun vid hỉnh_ảnh mang tính_chất nhận hàng tốt đẹp nghe tốt,False,vn,751396339,0,,,,,,,,,,
50049,118421000000000.0,15884473553,285716322,9782444205.0,4,"chất_lượng sản_phẩm chất_lượng sản_phẩm tốt tính_năng nổi_bật nghe nhạc hàng quốc_tế hàng về lâu , nhưng_mà shop ơi . shop sạc hết pin_sao nghe tiếp",False,vn,563650650,0,,,,,,,,,,
50050,119455000000000.0,15884473553,285716322,9885863613.0,5,nhỏ gọn nghe khá phù_hợp,False,vn,279814311,0,,,,,,,,,,
50051,131516000000000.0,13641383790,440778017,11142054387.0,5,sản_phẩm hoàn_thiện tệ . nút mở máy,False,vn,565133624,0,,,,,,,,,,
