itemId,name,brandId,brand_name,category,inStock,sold,location,discount,price,priceShow,rating,sku,reviews,sellerId,sellerName
2369621892,Xiaomi Redmi Note 12 8GB-128GB,4348,Xiaomi,"[4402, 4518]",True,,Hồ Chí Minh,7%off,5790000,5390000,0,2369621892_VNAMZ,,200294464016,FPT SHOP
2368456754,(Ticket) Sở Hữu điện thoại lPH0NE 14 Pro Max 512Gb VNA,65074,No Brand,"[4402, 4518]",True,15 Đã bán,Hồ Chí Minh,43%off,69000,39000,0,2368456754_VNAMZ,,200323792997,iMaxx
2367986604,điện thoại di động smartphone i14 Pro max giảm giá 50 Màn hình lớn 6.6 Inch Bán 8+256 GB Android đt giá rẻ cho học sinh miễn phí vận chuyển,65074,No Brand,"[4402, 4518]",True,,Hà Nội,50%off,2519800,1259900,0,2367986604_VNAMZ,,200287047458,OneFund-3C
2367777077,[XẢ KHO] Samsung Galaxy Z Fold4 - 256GB - Chính hãng NEW SEAL,65074,No Brand,"[4402, 4518]",True,,Hà Nội,,,2220000,0,2367777077_VNAMZ,,200452272432,svmobiles
2367724301,"[TẶNG SIM 4G] Điện thoại siêu bền Oukitel WP21 cấu hình tốt với Helio G99, pin khủng 9.800 mAh",65074,No Brand,"[4402, 4518]",True,,Hà Nội,,,2400000,0,2367724301_VNAMZ,,200452272432,svmobiles
2367669612,"Điện thoại Cảm ứng Cao Cấp Giá rẻ Oppo A57 2022 - điện thoại Oppo A57 2022 máy 2sim ram 6G/128G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất,",1220,OPPO,"[4402, 4518]",True,,Hà Nội,7%off,1470000,1370000,0,2367669612_VNAMZ,,200163618315,Minh Store Mobile 
2367566869,"Điện Thoại OPPO Find N2 Flip (8GB/256GB) Hàng chính hãng mới 100% , BH 12 tháng",65074,No Brand,"[4402, 4518]",True,,Hà Nội,,,2229989,0,2367566869_VNAMZ,,200452320189,linhapple98s
2367536982,[ Sale ] Điện thoại Nubia Red Magic 8 Pro 256GB sẵn tiếng việt 100%- cày game siêu mượt,65074,No Brand,"[4402, 4518]",True,,Hà Nội,,,1999999,0,2367536982_VNAMZ,,200452320189,linhapple98s
2367526888,"Điện thoại Nubia Red Magic 8 Pro, Magic 8 Pro Plus - Hàng nhập khẩu",65074,No Brand,"[4402, 4518]",True,,Hà Nội,,,1911000,0,2367526888_VNAMZ,,200451184634,CoySBHqe
2366533043,đt giá học sinh i14 Pro max Điện Thoại Di Động Chính Hãng  7.3Inch Điện Thoại Di Động Bộ Nhớ Lớn16+512GB Camera 50+108MP Pin 6000mAh,65074,No Brand,"[4402, 4518]",True,,Hà Nội,50%off,2069800,1034949,0,2366533043_VNAMZ,,200336272747,nhật thực-3C
