,id,name,sku,url_key,brand_name,seller_product_id,seller_id,price,original_price,discount,discount_rate,rating_average,review_count,productset_id,category,sold
29,249890677,Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,7557742452239,dien-thoai-xiaomi-redmi-note-12-4gb-128gb-hang-chinh-hang-p249890677,XIAOMI,249890681,29952,3979000,4990000,1011000,20,4.6,24,2647,Điện thoại,86
30,214756058,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,5616414474332,may-doc-sach-new-kindle-11th-2022-16gb-hang-chinh-hang-p214756058,KINDLE,217500608,106499,2680000,3100000,420000,14,5.0,4,2653,Điện thoại,45
31,121059239,Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,4698094451518,may-tinh-bang-samsung-galaxy-tab-a7-lite-t225-3gb-32gb-hang-chinh-hang-p121059239,SAMSUNG,121059241,29952,2739000,4990000,2251000,45,5.0,79,2645,Điện thoại,292
32,184036446,Apple iPhone 11,5679549432792,apple-iphone-11-p184036446,APPLE,32033721,1,10490000,12990000,2500000,19,4.8,2933,2647,Điện thoại,13765
33,205815593,"Apple iPad Pro 11-inch M2 Wi-Fi, 2022",5615489087929,apple-ipad-pro-11-inch-m2-wi-fi-2022-p205815593,APPLE,205815597,1,19990000,23990000,4000000,17,5.0,79,2645,Điện thoại,240
34,184059211,Apple iPhone 13,5447919661404,apple-iphone-13-hang-chinh-hang-p184059211,APPLE,123547399,1,16090000,24990000,8900000,36,5.0,1748,2647,Điện thoại,5364
35,205544066,Điện thoại Xiaomi Redmi 10 5G (4GB/64GB),9891175727314,dien-thoai-xiaomi-redmi-10-5g-4gb-64gb-hang-chinh-hang-p205544066,XIAOMI,205544068,1,2999000,4790000,1791000,37,4.6,14,2647,Điện thoại,43
36,197889905,Điện Thoại Nokia G11 4GB/64GB - Hàng Chính Hãng,5446538371826,dien-thoai-nokia-g11-4gb-64gb-hang-chinh-hang-p197889905,NOKIA,197889909,29952,2589000,3890000,1301000,33,4.6,19,2647,Điện thoại,56
37,209389809,Máy đọc sách Boox Leaf 2 - Hàng Chính Hãng,7213041774716,may-doc-sach-boox-leaf-2-hang-chinh-hang-p209389809,ONYX BOOX,209389813,1,5770000,6290000,520000,8,4.7,35,2653,Điện thoại,131
38,230155305,Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,5127862672587,dien-thoai-xiaomi-redmi-note-10-je-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230155305,XIAOMI,230155311,179232,2799000,3990000,1191000,30,4.7,13,2647,Điện thoại,34
39,173764601,Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,3986908306615,dien-thoai-samsung-galaxy-a23-4gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p173764601,SAMSUNG,173764607,20704,4050000,5690000,1640000,29,5.0,39,2647,Điện thoại,165
40,252073161,Điện thoại Nokia G11 (4/64G) - Hàng chính hãng - Giá rẻ - pin lâu,5236223209207,dien-thoai-nokia-g11-4-64g-hang-chinh-hang-gia-re-pin-lau-p252073161,NOKIA,252073162,325466,2328000,2590000,262000,10,4.8,6,2647,Điện thoại,13
41,147969070,"Điện thoại thông minh itel A26 - giá rẻ | 2 Sim 2 Sóng 4G LTE | Màn hình IPS 5.7"" HD+ | RAM 2GB + ROM 32 GB (Hỗ trợ thẻ nhớ 32 GB) | Mở khoá bằng Gương Mặt | Chính Hãng bảo hành 12 tháng| 1 đổi 1 trong 30 ngày",4154270184315,dien-thoai-thong-minh-itel-a26-gia-re-2-sim-2-song-4g-lte-man-hinh-ips-5-7-hd-ram-2gb-rom-32-gb-ho-tro-the-nho-32-gb-mo-khoa-bang-guong-mat-chinh-hang-bao-hanh-12-thang-1-doi-1-trong-30-ngay-p147969070,INTEL,155338646,179232,1150000,1990000,840000,42,4.5,52,2647,Điện thoại,172
42,244303202,Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,5651414866945,dien-thoai-samsung-a14-4gb-128gb-hang-chinh-hang-p244303202,SAMSUNG,244303204,29952,3309000,4490000,1181000,26,5.0,10,2647,Điện thoại,41
43,197907038,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,3467050820473,dien-thoai-di-dong-vtel-e10-4g-hang-chinh-hang-p197907038,VTEL,197907044,321,329000,339000,10000,3,4.2,23,2649,Điện thoại,78
44,198671718,Điện Thoại Samsung Galaxy A04s (4GB/64GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,9239724610721,dien-thoai-samsung-galaxy-a04s-4gb-64gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p198671718,SAMSUNG,198671722,20704,2830000,3990000,1160000,29,5.0,17,2647,Điện thoại,56
45,244308977,Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,6970755323107,dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p244308977,XIAOMI,248172324,1,2750000,3590000,840000,23,5.0,13,2647,Điện thoại,60
46,171897574,Điện thoại Xiaomi Redmi 10C (4GB/128GB),1200807186532,dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p171897574,XIAOMI,216003203,1,2990000,4390000,1400000,32,5.0,35,2647,Điện thoại,148
47,181452535,Điện thoại itel it9200 4G - WIFI - Hàng chính hãng,1210867600267,dien-thoai-itel-it9200-4g-wifi-hang-chinh-hang-p181452535,INTEL,181452537,179232,589000,790000,201000,25,4.5,19,2649,Điện thoại,92
48,203949614,Máy Tính Bảng Samsung Galaxy Tab S6 Lite (2022) (4GB/64GB) SM-P619 ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,9282702162156,may-tinh-bang-samsung-galaxy-tab-s6-lite-2022-4gb-64gb-sm-p615-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p203949614,SAMSUNG,203949620,20704,6200000,9990000,3790000,38,5.0,14,2645,Điện thoại,45
49,247829297,Điện thoại Realme C55 (8GB/256GB) - Hàng chính hãng,1877783872250,dien-thoai-realme-c55-8gb-256gb-hang-chinh-hang-p247829297,REALME,247829575,1,4750000,5690000,940000,17,5.0,7,2647,Điện thoại,19
50,198648645,Điện thoại Xiaomi Redmi A1 (2GB/32GB),8264458393766,dien-thoai-xiaomi-redmi-a1-2gb-32gb-hang-chinh-hang-p198648645,XIAOMI,198648649,1,1750000,2490000,740000,30,5.0,25,2647,Điện thoại,113
51,197216279,Apple iPhone 14 Pro,2571261689733,apple-iphone-14-pro-p197216279,APPLE,197216285,1,23990000,30990000,7000000,23,5.0,249,2647,Điện thoại,914
52,197214029,Apple iPhone 14,7504802539962,apple-iphone-14-p197214029,APPLE,197214045,1,18990000,24990000,6000000,24,5.0,127,2647,Điện thoại,446
53,209927605,Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,7003311729207,combo-may-doc-sach-kindle-2022-11th-tang-kem-bao-da-cover-hang-nhap-khau-p209927605,KINDLE,217730424,106499,2390000,3090000,700000,23,4.8,15,2653,Điện thoại,58
54,230157205,Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,7969981281880,dien-thoai-xiaomi-redmi-note-10t-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230157205,XIAOMI,230157209,179232,2899000,4190000,1291000,31,5.0,5,2647,Điện thoại,15
55,203763209,Điện thoại Gaming Tecno POVA 4 PRO 8GB/256GB - MTK G99| 6000 mAh | Sạc nhanh 45W - Hàng Chính Hãng,5066566585786,dien-thoai-gaming-tecno-pova-4-pro-8gb-256gb-mtk-g99-6000-mah-sac-nhanh-45w-hang-chinh-hang-p203763209,TECNO,203763213,189668,4890000,5990000,1100000,18,4.8,31,2647,Điện thoại,97
56,249534908,"Điện thoại Tecno SPARK GO 2023 3GB/64GB - Helio A22 | 5000 mAh | 6,6"" HD+| Cảm ứng vân tay | Hàng chính hãng | Bảo hành chính hãng 13 tháng",5476791645769,dien-thoai-tecno-spark-go-2023-3gb-64gb-helio-a22-5000-mah-6-6-hd-cam-ung-van-tay-hang-chinh-hang-bao-hanh-chinh-hang-13-thang-p249534908,TECNO,249534912,179232,1999000,2490000,491000,20,5.0,5,2647,Điện thoại,13
57,55518608,Điện Thoại Smartphone DXD 20Pro Hàng Chính Hãng Bảo Hành 12 Tháng,6738797442768,dien-thoai-smartphone-dxd-20pro-hang-chinh-hang-p55518608,DXD,55518610,9141,590000,590000,0,0,3.2,43,2647,Điện thoại,144
58,197966909,Điện Thoại Samsung A04s 4GB/64GB - Hàng Chính Hãng,8697899661797,dien-thoai-samsung-a04s-4gb-64gb-hang-chinh-hang-p197966909,SAMSUNG,197966911,29952,2819000,3990000,1171000,29,5.0,17,2647,Điện thoại,68
59,193979830,Điện Thoại Oppo A96 (8GB/128G),8216359120593,dien-thoai-oppo-a96-8gb-128g-hang-chinh-hang-p193979830,OPPO,193979836,1,5490000,6990000,1500000,21,5.0,14,2647,Điện thoại,53
60,150724369,"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",3997712434971,may-tinh-bang-fire-hd10-2021-11th-all-new-fire-hd10-2021-ram-3gb-bo-nho-32gb-man-hinh-1080-fullhd-p150724369,OEM,252728044,106499,2715000,3500000,785000,22,4.8,16,2645,Điện thoại,56
61,252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,4188671206599,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p252586291,KINDLE,252586504,106499,2790000,3100000,310000,10,5.0,92,2653,Điện thoại,391
62,220680981,Điện thoại Realme 10 (8GB/256GB) - Hàng chính hãng,8484880730161,dien-thoai-realme-10-8gb-256gb-hang-chinh-hang-p220680981,REALME,220681028,1,5150000,7190000,2040000,28,5.0,5,2647,Điện thoại,32
63,191477618,Điện thoại Nokia C21 Plus (2GB/32GB) - Hàng chính hãng,2805022709753,dien-thoai-nokia-c21-plus-2gb-32gb-hang-chinh-hang-p191477618,NOKIA,197539507,1,1650000,2590000,940000,36,5.0,19,2647,Điện thoại,90
64,197214015,Apple iPhone 14 Plus,9106552499289,apple-iphone-14-plus-p197214015,APPLE,197214017,1,21290000,27990000,6700000,24,5.0,122,2647,Điện thoại,322
65,258373871,Điện Thoại Itel S23 128GB/16GB (8GB+8GB) | Pin 5000mAh | 6.6 Inch | Camera 50MP | 90Hz | Face ID - Hàng chính Hãng,2917837169005,dien-thoai-itel-s23-128gb-16gb-8gb-8gb-pin-5000mah-6-6-inch-camera-50mp-90hz-face-id-hang-chinh-hang-p258373871,INTEL,258373875,289777,2890000,3490000,600000,17,5.0,4,2647,Điện thoại,10
66,178575037,Điện Thoại Nokia C21 Plus 2GB/32GB - Hàng Chính Hãng,2436382513989,dien-thoai-nokia-c21-plus-2gb-32gb-hang-chinh-hang-p178575037,NOKIA,181787951,29952,1619000,2690000,1071000,40,4.6,9,2647,Điện thoại,18
67,209872337,"Máy đọc sách Kindle 2022 (11th) - All new kindle 2022 11th màn hình 6inch 300PPI gấp 2 lần độ sắc nét, 16GB bộ nhớ trong với cổng kết nối USB-C - Hàng nhập khẩu",2271909716886,may-doc-sach-kindle-2022-all-new-kindle-2022-11th-man-hinh-6inch-300ppi-gap-2-do-sac-net-16gb-bo-nho-trong-voi-cong-ket-noi-usb-c-p209872337,KINDLE,253314230,106499,2340000,2990000,650000,22,5.0,6,2653,Điện thoại,46
68,203853390,Điện Thoại Oppo A17k (3GB/64GB),6819443870587,dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p203853390,OPPO,203853394,1,2750000,3290000,540000,16,4.6,17,2647,Điện thoại,95
69,263041214,Điện thoại Gaming Tecno POVA 4 8GB/128GB - Hàng Chính Hãng - MediaTek G99 | 6000mAh - 6.82 inch - Bảo hành 13 Tháng,4181515201834,dien-thoai-gaming-tecno-pova-4-8gb-128gb-hang-chinh-hang-mediatek-g99-6000mah-6-82-inch-bao-hanh-13-thang-p263041214,TECNO,263041218,189668,3890000,4690000,800000,17,5.0,5,2647,Điện thoại,13
70,163914808,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,5119936109793,dien-thoai-ban-kxts500-hang-chinh-hang-p163914808,PANASONIC,163914810,113592,290000,290000,0,0,5.0,112,2651,Điện thoại,715
71,230203067,Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,5267736441553,dien-thoai-oppo-a55s-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230203067,OPPO,230203073,179232,2982000,3099000,117000,4,5.0,7,2647,Điện thoại,12
72,242434782,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng nhập khẩu,8436014039152,may-doc-sach-new-kindle-11th-2022-16gb-hang-nhap-khau-p242434782,KINDLE,249853200,106499,2720000,3090000,370000,12,0.0,0,2653,Điện thoại,0
73,252883198,"Điện thoại người già VIETELL V600 4G - bàn phím to, loa to, chữ to, đèn pin siêu sáng, pin khủng - Mới full box",7883518432377,dien-thoai-nguoi-gia-vietell-v600-4g-ban-phim-to-loa-to-chu-to-den-pin-sieu-sang-pin-khung-moi-full-box-p252883198,OEM,252883200,325896,339000,439000,100000,23,5.0,3,2649,Điện thoại,15
74,196873058,Máy đọc sách màu Boox Nova Air C - Hàng chính hãng,2461323756013,may-doc-sach-mau-boox-nova-air-c-hang-chinh-hang-p196873058,ONYX BOOX,196873060,1,10890000,12000000,1110000,9,4.5,8,2653,Điện thoại,27
75,173387789,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,1534344541426,may-doc-sach-all-new-kindle-oasis-3-hang-nhap-khau-p173387789,KINDLE,217289744,38963,5690000,6990000,1300000,19,5.0,6,2653,Điện thoại,30
76,252428990,Điện thoại Tecno SPARK 10 Pro 8GB/256GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,4077244591529,dien-thoai-tecno-spark-10-pro-8gb-256gb-helio-g88-5000-mah-sac-nhanh-18w-cam-ung-van-tay-hang-chinh-hang-p252428990,TECNO,252428994,189668,3970000,4490000,520000,12,4.7,3,2647,Điện thoại,12
77,247299188,Điện thoại Tecno Spark Go 2023 4GB/64GB - Hàng chính hãng,5955792213197,dien-thoai-tecno-spark-go-2023-4gb-64gb-hang-chinh-hang-p247299188,TECNO,247299190,179232,2199000,3290000,1091000,33,5.0,6,2647,Điện thoại,13
78,155536275,Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,4240379777523,dien-thoai-samsung-galaxy-s21-fe-5g-8gb-128gb-hang-chinh-hang-p155536275,SAMSUNG,155536283,1,8990000,16990000,8000000,47,4.7,62,2647,Điện thoại,184
79,247341025,"Điện thoại mini 2 SIM 2 SÓNG siêu nhỏ Ecoking,độc lạ hình cây bút,tích hợp đầy đủ các chức năng của chiếc smartphone như quay phim chụp hình kết nối bluetooth cổng cắm thẻ nhớ đèm led đài FM nhỏ gọn tiện lợi dễ dàng sử dụng",1574252176418,dien-thoai-mini-2-sim-2-song-sieu-nho-ecoking-doc-la-hinh-cay-but-tich-hop-day-du-cac-chuc-nang-cua-chiec-smartphone-nhu-quay-phim-chup-hinh-ket-noi-bluetooth-cong-cam-the-nho-dem-led-dai-fm-nho-gon-tien-loi-de-dang-su-dung-p247341025,OEM,247341029,245498,474000,1000000,526000,53,4.6,9,2649,Điện thoại,18
80,253407100,Điện Thoại Realme C55 6GB/128GB - Hàng Chính Hãng,3886505758752,dien-thoai-realme-c55-6gb-128gb-hang-chinh-hang-p253407100,REALME,253407104,29952,4139000,4990000,851000,17,5.0,2,2647,Điện thoại,4
81,247016383,Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,4930780122156,dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p247016383,XIAOMI,247016400,179232,2799000,3490000,691000,20,4.3,4,2647,Điện thoại,4
82,262852398,"Điện thoại dành cho người già Good X6 ,chữ to, loa lớn - Mới nguyên hộp",6790114510408,dien-thoai-danh-cho-nguoi-gia-good-x6-chu-to-loa-lon-moi-nguyen-hop-p262852398,OEM,262852404,179232,329000,399000,70000,18,5.0,3,2649,Điện thoại,11
83,217627416,Điện thoại Vsmart Bee Lite (2GB/16GB) - Hàng chính hãng,5915846715804,dien-thoai-vsmart-bee-lite-2gb-16gb-hang-chinh-hang-p217627416,VSMART,217627418,162514,890000,890000,0,0,5.0,3,2647,Điện thoại,8
84,252676884,Điện thoại Xiaomi Redmi 10C (4G/128G) - hàng chính hãng,9071609945441,dien-thoai-xiaomi-redmi-10c-4g-128g-hang-chinh-hang-p252676884,XIAOMI,252676893,325466,3315500,3490000,174500,5,3.0,2,2647,Điện thoại,5
85,175967811,Điện Thoại Samsung Galaxy S20 FE 256GB | 8GB - Hàng Chính Hãng,2129678324716,dien-thoai-samsung-galaxy-s20-fe-256gb-8gb-hang-chinh-hang-p175967811,SAMSUNG,196284376,11119,7644000,7644000,0,0,0.0,0,2647,Điện thoại,1
86,195311658,Điện thoại XIAOMI POCO X4 GT 8+128GB/8+256GB | MediaTek Dimensity 8100 | Sạc nhanh 67W - Hàng chính hãng,4271398697729,dien-thoai-xiaomi-poco-x4-gt-8-128gb-8-256gb-mediatek-dimensity-8100-sac-nhanh-67w-hang-chinh-hang-p195311658,XIAOMI,195311664,122357,8490000,8490000,0,0,5.0,25,2647,Điện thoại,50
87,164213695,Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,7591270526594,dien-thoai-ban-panasonic-kx-tgb110-p164213695,PANASONIC,164213696,113592,710000,710000,0,0,5.0,9,2651,Điện thoại,46
88,248590019,Điện thoại Xiaomi Redmi 12C (3GB/32GB) - Hàng chính hãng,1864365472341,dien-thoai-xiaomi-redmi-12c-3gb-32gb-hang-chinh-hang-p248590019,XIAOMI,248590033,179232,2249000,3590000,1341000,37,5.0,3,2647,Điện thoại,6
89,191350420,"Máy đọc sách Kindle Paperwhite Gen 4 10th màn hình 6 inch 300PPI, wifi, bluetooth, chống nước IPX8 - Hàng nhập khẩu",9470757066936,may-doc-sach-kindle-paperwhite-gen-4-10th-man-hinh-6-inch-300ppi-wifi-bluetooth-chong-nuoc-ipx8-hang-nhap-khau-p191350420,KINDLE,222674542,106499,2029500,2050000,20500,1,5.0,14,2653,Điện thoại,70
90,262075320,Điện thoại TECNO Spark 10 4GB+4GB/128GB - RAM mở rộng tới 8GB | Pin 5000 mAh | Màn 90Hz - Sạc nhanh 18W - Hàng chính hãng,6556866223153,dien-thoai-tecno-spark-10-4gb-4gb-64gb-ram-mo-rong-toi-8gb-pin-5000-mah-man-90hz-sac-nhanh-18w-hang-chinh-hang-p262075320,TECNO,262075324,179232,2699000,3190000,491000,15,5.0,2,2647,Điện thoại,3
91,207761759,Điện thoại Samsung Galaxy A13 (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,6786548798543,dien-thoai-samsung-galaxy-a13-4gb-64gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p207761759,SAMSUNG,207761765,20704,2990000,3990000,1000000,25,5.0,11,2647,Điện thoại,54
92,198363821,Điện thoại Xiaomi Redmi A1 2GB + 32GB Camera kép - Pin 5000mAh - Màn hình độ phân giải HD+ - Hàng chính hãng,6150237040106,dien-thoai-xiaomi-redmi-a1-2gb-32gb-camera-kep-pin-5000mah-man-hinh-do-phan-giai-hd-hang-chinh-hang-p198363821,XIAOMI,216725038,11119,2088000,2088000,0,0,0.0,0,2647,Điện thoại,0
93,248766283,Máy đọc sách New Kindle 11th 2022 (Kids) kèm bao da - Hàng Chính Hãng,5389269202226,may-doc-sach-new-kindle-11th-2022-kids-kem-bao-da-hang-chinh-hang-p248766283,KINDLE,248766284,1,3050000,3299000,249000,8,5.0,3,2653,Điện thoại,9
94,246770532,"Máy đọc sách Kindle 2022 11th (Kindle basic 2022) có đèn nền 6inch 300PPI, Bluetooth, Audible, dung lượng 16GB - Hàng chính hãng",9202453022983,may-doc-sach-kindle-2022-11th-kindle-basic-2022-co-den-nen-6inch-300ppi-bluetooth-audible-dung-luong-16gb-p246770532,KINDLE,246770534,108829,2550000,2550000,0,0,5.0,3,2653,Điện thoại,7
95,172178476,Điện Thoại Samsung A23 4GB/128GB - Hàng Chính Hãng,2634073932154,dien-thoai-samsung-a23-4gb-128gb-hang-chinh-hang-p172178476,SAMSUNG,203983736,11119,4229000,4229000,0,0,0.0,0,2647,Điện thoại,0
96,221274391,"Điện thoại Tecno SPARK GO 2023 4GB/64GB - Helio A22 | 5000 mAh | 6,6"" HD+| Cảm ứng vân tay | Hàng chính hãng | Bảo hành chính hãng 13 tháng",3542111063462,dien-thoai-tecno-spark-go-2023-4gb-64gb-helio-a22-5000-mah-6-6-hd-cam-ung-van-tay-p221274391,TECNO,221274393,189668,2238000,2490000,252000,10,4.6,7,2647,Điện thoại,38
